Text,Label
Are there any zombie flicks worth watching,netflix
Play me the best K drama available now on Netflix,netflix
Play the first episode of descendants of the sun,netflix
Play me any comedy show except directed by Harvey Weinstein,netflix
Do you have a song about praise and worship,spotify
Play me a Christian song that can give my spirits,spotify
Do you have any shows about heroic incidents in war,netflix
Any show with Tom Hanks especially as a romantic comedy,netflix
Play me a playlist from 30 seconds from Mars,spotify
Play me she will be loved by Maroon 5,spotify
Play me the song that was used in the circle of life,spotify
Do you have any Elton John classics,spotify
Play me any song by Hillsong United,spotify
Play me any song at red rocks worship,spotify
Play me any Disney song from the 80s,spotify
Sing me a Disney classic that was used in Alladdin,spotify
Play a whole new world in Alladin,spotify
This is a Japanese doll.,other
The three-year-old girl ran down the beach as the kite flew behind her.,other
"He set out for a short walk, but now all he could see were mangroves and water were for miles.",other
This made him feel like an old-style rootbeer float smells.,other
It must be five o'clock somewhere.,other
She opened up her third bottle of wine of the night.,other
Trash covered the landscape like sprinkles do a birthday cake.,other
Just go ahead and press that button.,other
"He turned in the research paper on Friday; otherwise, he would have not passed the class.",other
She wore green lipstick like a fashion icon.,other
He was all business when he wore his clown suit.,other
The snow-covered path was no help in finding his way out of the back-country.,other
"Greetings from the galaxy MACS0647-JD, or what we call home.",other
Andy loved to sleep on a bed of nails.,other
The tumbleweed refused to tumble but was more than willing to prance.,other
"I love bacon, beer, birds, and baboons.",other
The external scars tell only part of the story.,other
She always had an interesting perspective on why the world must be flat.,other
She borrowed the book from him many years ago and hasn't yet returned it.,other
The bees decided to have a mutiny against their queen.,other
The skeleton had skeletons of his own in the closet.,other
"Buried deep in the snow, he hoped his batteries were fresh in his avalanche beacon.",other
"One small action would change her life, but whether it would be for better or for worse was yet to be determined.",other
Weather is not trivial - it's especially important when you're standing in it.,other
He found a leprechaun in his walnut shell.,other
He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,other
He had concluded that pigs must be able to fly in Hog Heaven.,other
The elderly neighborhood became enraged over the coyotes who had been blamed for the poodle’s disappearance.,other
You'll see the rainbow bridge after it rains cats and dogs.,other
His mind was blown that there was nothing in space except space itself.,other
Nancy thought the best way to create a welcoming home was to line it with barbed wire.,other
Toddlers feeding raccoons surprised even the seasoned park ranger.,other
It was difficult for Mary to admit that most of her workout consisted of exercising poor judgment.,other
"I want a giraffe, but I'm a turtle eating waffles.",other
You realize you're not alone as you sit in your bedroom massaging your calves after a long day of playing tug-of-war with Grandpa Joe in the hospital.,other
She was the type of girl who wanted to live in a pink house.,other
"As time wore on, simple dog commands turned into full paragraphs explaining why the dog couldn’t do something.",other
She thought there'd be sufficient time if she hid her watch.,other
She lived on Monkey Jungle Road and that seemed to explain all of her strangeness.,other
They're playing the piano while flying in the plane.,other
The sight of his goatee made me want to run and hide under my sister-in-law's bed.,other
The Japanese yen for commerce is still well-known.,other
Being unacquainted with the chief raccoon was harming his prospects for promotion.,other
I’m a living furnace.,other
Karen believed all traffic laws should be obeyed except by herself.,other
This is the last random sentence I will be writing and I am going to stop mid-sent,other
The swirled lollipop had issues with the pop rock candy.,other
"Honestly, I didn't care much for the first season, so I didn't bother with the second.",other
Always bring cinnamon buns on a deep-sea diving expedition.,other
"Of course, she loves her pink bunny slippers.",other
She lived on Monkey Jungle Road and that seemed to explain all of her strangeness.,other
The crowd yells and screams for more memes.,other
"He said he was not there yesterday; however, many people saw him there.",other
There's a reason that roses have thorns.,other
"When he asked her favorite number, she answered without hesitation that it was diamonds.",other
We have a lot of rain in June.,other
She wondered what his eyes were saying beneath his mirrored sunglasses.,other
Everyone was curious about the large white blimp that appeared overnight.,other
She did a happy dance because all of the socks from the dryer matched.,other
Just because the water is red doesn't mean you can't drink it.,other
Nobody has encountered an explosive daisy and lived to tell the tale.,other
The small white buoys marked the location of hundreds of crab pots.,other
The golden retriever loved the fireworks each Fourth of July.,other
Just go ahead and press that button.,other
Tomatoes make great weapons when water balloons aren’t available.,other
Love is not like pizza.,other
"I'll have you know I've written over fifty novels, of which all have been written in my mind.",other
"As the rental car rolled to a stop on the dark road, her fear increased by the moment.",other
Acres of almond trees lined the interstate highway which complimented the crazy driving nuts.,other
Written warnings in instruction manuals are worthless since rabbits can't read.,other
Purple is the best city in the forest.,other
The pigs were insulted that they were named hamburgers.,other
He always wore his sunglasses at night.,other
"As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled.",other
"It dawned on her that others could make her happier, but only she could make herself happy.",other
He found the end of the rainbow and was surprised at what he found there.,other
Your girlfriend bought your favorite cookie crisp cereal but forgot to get milk.,other
Peanut butter and jelly caused the elderly lady to think about her past.,other
The bread dough reminded her of Santa Clause’s belly.,other
He decided that the time had come to be stronger than any of the excuses he'd used until then.,other
The blinking lights of the antenna tower came into focus just as I heard a loud snap.,other
He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,other
Dan took the deep dive down the rabbit hole.,other
The newly planted trees were held up by wooden frames in hopes they could survive the next storm.,other
"He ran out of money, so he had to stop playing poker.",other
Shakespeare was a famous 17th-century diesel mechanic.,other
Harrold felt confident that nobody would ever suspect his spy pigeon.,other
She says she has the ability to hear the soundtrack of your life.,other
He is good at eating pickles and telling women about his emotional problems.,other
He knew it was going to be a bad day when he saw mountain lions roaming the streets.,other
I often see the time 11:11 or 12:34 on clocks.,other
"We debated the greater need for an umbrella, in sunshine for shade or in rain for dryness.",other
Nobody questions who built the pyramids in Mexico.,other
"Peanuts don't grow on trees, but cashews do.",other
She was disgusted he couldn’t tell the difference between lemonade and limeade.,other
A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.,other
"The secret code they created made no sense, even to them.",other
Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world.,other
He wondered if she would appreciate his toenail collection.,other
Many perceived speed limit signs as suggestions not laws to be obeyed.,other
She wasn't sure whether to be impressed or concerned that he folded underwear in neat little packages.,other
"Although it wasn't a pot of gold, Nancy was still enthralled at what she found at the end of the rainbow.",other
They wandered into a strange Tiki bar on the edge of the small beach town.,other
Strawberries must be the one food that doesn't go well with this brand of paint.,other
"We have never been to Asia, nor have we visited Africa.",other
Mary plays the piano.,other
Today I dressed my unicorn in preparation for the race.,other
He walked into the basement with the horror movie from the night before playing in his head.,other
Van life is difficult with 2 cats and a dog.,other
My Mum tries to be cool by saying that she likes all the same things that I do.,other
UHaul trucks bring back bad memories for us.,other
He had decided to accept his fate of accepting his fate.,other
"When nobody is around, the trees gossip about the people who have walked under them.",other
Kevin embraced his ability to be at the wrong place at the wrong time.,other
I checked to make sure that he was still alive.,other
The stench from the feedlot permeated the car despite having the air conditioning on recycled air.,other
There's a message for you if you look up.,other
"Thigh-high in the water, the fisherman’s hope for dinner soon turned to despair.",other
They were excited to see their first sloth.,other
"As the rental car rolled to a stop on the dark road, her fear increased by the moment.",other
It must be easy to commit crimes as a snake because you don't have to worry about leaving fingerprints.,other
The tour bus was packed with teenage girls heading toward their next adventure.,other
Shingle color was not something the couple had ever talked about.,other
"She did not cheat on the test, for it was not the right thing to do.",other
"As she walked along the street and looked in the gutter, she realized facemasks had become the new cigarette butts.",other
"He wondered why at 18 he was old enough to go to war, but not old enough to buy cigarettes.",other
The beauty of the African sunset disguised the danger lurking nearby.,other
She thought there'd be sufficient time if she hid her watch.,other
Garlic ice-cream was her favorite.,other
He liked to play with words in the bathtub.,other
"I am counting my calories, yet I really want dessert.",other
A quiet house is nice until you are ordered to stay in it for months.,other
She had convinced her kids that any mushroom found on the ground would kill them if they touched it.,other
As he dangled from the rope deep inside the cravase he hoped his teammates remembered the emergency skills he taught them days before.,other
The three-year-old girl ran down the beach as the kite flew behind her.,other
Hit me with your pet shark!,other
"As you consider all the possible ways to improve yourself and the world, you notice John Travolta seems fairly unhappy.",other
Please put on these earmuffs because I can't you hear.,other
The child’s favorite Christmas gift was the large box her father’s lawnmower came in.,other
I thought red would have felt warmer in summer but I didn't think about the equator.,other
He had concluded that pigs must be able to fly in Hog Heaven.,other
"She works two jobs to make ends meet; at least, that was her reason for not having time to join us.",other
Karen believed all traffic laws should be obeyed except by herself.,other
The two walked down the slot canyon oblivious to the sound of thunder in the distance.,other
I hear that Nancy is very pretty.,other
A song can make or ruin a person’s day if they let it get to them.,other
He wasn't bitter that she had moved on but from the radish.,other
Iguanas were falling out of the trees.,other
Martha came to the conclusion that shake weights are a great gift for any occasion.,other
The campers waited anxiously as the care packages arrived at camp.,other
The delicious aroma from the kitchen was ruined by cigarette smoke.,other
Jenny made the announcement that her baby was an alien.,other
He waited for the stop sign to turn to a go sign.,other
I was very proud of my nickname throughout high school but today- I couldn’t be any different to what my nickname was.,other
They desperately needed another drummer since the current one only knew how to play bongos.,other
The fog was so dense even a laser decided it wasn't worth the effort.,other
His confidence would have bee admirable if it wasn't for his stupidity.,other
UHaul trucks bring back bad memories for us.,other
"After exploring the abandoned building, he started to believe in ghosts.",other
He picked up trash in his spare time to dump in his neighbor's yard.,other
Today I heard something new and unmemorable.,other
Peanut butter and jelly caused the elderly lady to think about her past.,other
He didn't heed the warning and it had turned out surprisingly well.,other
This book is sure to liquefy your brain.,other
"He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility.",other
The truth is that you pay for your lifestyle in hours.,other
There are over 500 starfish in the bathroom drawer.,other
The furnace repairman indicated the heating system was acting as an air conditioner.,other
It isn't difficult to do a handstand if you just stand on your hands.,other
The drainage pipe allowed the wildlife to cross the highway without worrying about cars.,other
Their argument could be heard across the parking lot.,other
"Sometimes, all you need to do is completely make an ass of yourself and laugh it off to realise that life isn’t so bad after all.",other
I checked to make sure that he was still alive.,other
She found it strange that people use their cellphones to talk to one another.,other
Your girlfriend bought your favorite cookie crisp cereal but forgot to get milk.,other
"I love bacon, beer, birds, and baboons.",other
She thought there'd be sufficient time if she hid her watch.,other
He had unknowingly taken up sleepwalking as a nighttime hobby.,other
"With a single flip of the coin, his life changed forever.",other
"She wrote him a long letter, but he didn't read it.",other
Nudist colonies shun fig-leaf couture.,other
A kangaroo is really just a rabbit on steroids.,other
Everyone pretends to like wheat until you mention barley.,other
"When nobody is around, the trees gossip about the people who have walked under them.",other
Flesh-colored yoga pants were far worse than even he feared.,other
"Cats are good pets, for they are clean and are not noisy.",other
Greetings from the real universe.,other
As he dangled from the rope deep inside the cravase he hoped his teammates remembered the emergency skills he taught them days before.,other
The grassy dry hill welcomed the flames.,other
He decided to count all the sand on the beach as a hobby.,other
It had been sixteen days since the zombies first attacked.,other
"25 years later, she still regretted that specific moment.",other
There is no better feeling than staring at a wall with closed eyes.,other
I met an interesting turtle while the song on the radio blasted away.,other
They throw cabbage that turns your brain into emotional baggage.,other
Nancy decided to make the porta-potty her home.,other
Iron pyrite is the most foolish of all minerals.,other
Wisdom is easily acquired when hiding under the bed with a saucepan on your head.,other
Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world.,other
I only enjoy window shopping when the windows are transparent.,other
"The sunblock was handed to the girl before practice, but the burned skin was proof she did not apply it.",other
"When he encountered maize for the first time, he thought it incredibly corny.",other
I only enjoy window shopping when the windows are transparent.,other
You'll see the rainbow bridge after it rains cats and dogs.,other
He swore he just saw his sushi move.,other
The sun had set and so had his dreams.,other
Twin 4-month-olds slept in the shade of the palm tree while the mother tanned in the sun.,other
The stranger officiates the meal.,other
The tortoise jumped into the lake with dreams of becoming a sea turtle.,other
"Had he known what was going to happen, he would have never stepped into the shower.",other
It took me too long to realize that the ceiling hadn't been painted to look like the sky.,other
Joyce enjoyed eating pancakes with ketchup.,other
"She saw the brake lights, but not in time.",other
"She wanted to be rescued, but only if it was Tuesday and raining.",other
Mr. Montoya knows the way to the bakery even though he's never been there.,other
She lived on Monkey Jungle Road and that seemed to explain all of her strangeness.,other
I love eating toasted cheese and tuna sandwiches.,other
Today is the day I'll finally know what brick tastes like.,other
Eating eggs on Thursday for choir practice was recommended.,other
100 years old is such a young age if you happen to be a bristlecone pine.,other
The Tsunami wave crashed against the raised houses and broke the pilings as if they were toothpicks.,other
She felt that chill that makes the hairs on the back of your neck when he walked into the room.,other
We're careful about orange ping pong balls because people might think they're fruit.,other
She folded her handkerchief neatly.,other
Rock music approaches at high velocity.,other
Warm beer on a cold day isn't my idea of fun.,other
Everyone says they love nature until they realize how dangerous she can be.,other
He found the chocolate covered roaches quite tasty.,other
There's a message for you if you look up.,other
I'd rather be a bird than a fish.,other
Two more days and all his problems would be solved.,other
Nobody loves a pig wearing lipstick.,other
The gruff old man sat in the back of the bait shop grumbling to himself as he scooped out a handful of worms.,other
The two walked down the slot canyon oblivious to the sound of thunder in the distance.,other
Poison ivy grew through the fence they said was impenetrable.,other
I’m working on a sweet potato farm.,other
She says she has the ability to hear the soundtrack of your life.,other
The ants enjoyed the barbecue more than the family.,other
The wooden spoon couldn’t cut but left emotional scars.,other
Patricia loves the sound of nails strongly pressed against the chalkboard.,other
The bullet pierced the window shattering it before missing Danny's head by mere millimeters.,other
That was how he came to win $1 million.,other
The sign said there was road work ahead so he decided to speed up.,other
It was her first experience training a rainbow unicorn.,other
Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world.,other
It isn't true that my mattress is made of cotton candy.,other
Nobody has encountered an explosive daisy and lived to tell the tale.,other
The furnace repairman indicated the heating system was acting as an air conditioner.,other
When I was little I had a car door slammed shut on my hand and I still remember it quite vividly.,other
She wanted a pet platypus but ended up getting a duck and a ferret instead.,other
The tattered work gloves speak of the many hours of hard labor he endured throughout his life.,other
I'd rather be a bird than a fish.,other
"Facing his greatest fear, he ate his first marshmallow.",other
Tomatoes make great weapons when water balloons aren’t available.,other
The virus had powers none of us knew existed.,other
Abstraction is often one floor above you.,other
"I come from a tribe of head-hunters, so I will never need a shrink.",other
They decided to plant an orchard of cotton candy.,other
It didn't make sense unless you had the power to eat colors.,other
"Mary realized if her calculator had a history, it would be more embarrassing than her computer browser history.",other
It's difficult to understand the lengths he'd go to remain short.,other
The quick brown fox jumps over the lazy dog.,other
That is an appealing treasure map that I can't read.,other
"He turned in the research paper on Friday; otherwise, he would have not passed the class.",other
The shooter says goodbye to his love.,other
"I love bacon, beer, birds, and baboons.",other
That must be the tenth time I've been arrested for selling deep-fried cigars.,other
"Cats are good pets, for they are clean and are not noisy.",other
She says she has the ability to hear the soundtrack of your life.,other
Writing a list of random sentences is harder than I initially thought it would be.,other
"While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense.",other
Please wait outside of the house.,other
"Sometimes I stare at a door or a wall and I wonder what is this reality, why am I alive, and what is this all about?",other
When I was little I had a car door slammed shut on my hand and I still remember it quite vividly.,other
She found his complete dullness interesting.,other
"As he waited for the shower to warm, he noticed that he could hear water change temperature.",other
He had concluded that pigs must be able to fly in Hog Heaven.,other
"The busker hoped that the people passing by would throw money, but they threw tomatoes instead, so he exchanged his hat for a juicer.",other
"Before he moved to the inner city, he had always believed that security complexes were psychological.",other
Sometimes you have to just give up and win by cheating.,other
I’m a living furnace.,other
The thunderous roar of the jet overhead confirmed her worst fears.,other
He dreamed leaving his law firm to open a portable dog wash.,other
I’m working on a sweet potato farm.,other
It was at that moment that he learned there are certain parts of the body that you should never Nair.,other
Patricia loves the sound of nails strongly pressed against the chalkboard.,other
Cursive writing is the best way to build a race track.,other
Many perceived speed limit signs as suggestions not laws to be obeyed.,other
We will not allow you to bring your pet armadillo along.,other
"There have been days when I wished to be separated from my body, but today wasn’t one of those days.",other
I just wanted to tell you I could see the love you have for your child by the way you look at her.,other
It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,other
We need to rent a room for our party.,other
He stomped on his fruit loops and thus became a cereal killer.,other
Dan took the deep dive down the rabbit hole.,other
The elephant didn't want to talk about the person in the room.,other
The sign said there was road work ahead so he decided to speed up.,other
The gloves protect my feet from excess work.,other
I ate a sock because people on the Internet told me to.,other
She thought there'd be sufficient time if she hid her watch.,other
A song can make or ruin a person’s day if they let it get to them.,other
The tumbleweed refused to tumble but was more than willing to prance.,other
The river stole the gods.,other
The team members were hard to tell apart since they all wore their hair in a ponytail.,other
She was too busy always talking about what she wanted to do to actually do any of it.,other
A dead duck doesn't fly backward.,other
Nancy decided to make the porta-potty her home.,other
Jason didn’t understand why his parents wouldn’t let him sell his little sister at the garage sale.,other
The father died during childbirth.,other
Blue sounded too cold at the time and yet it seemed to work for gin.,other
The elephant didn't want to talk about the person in the room.,other
He dreamed leaving his law firm to open a portable dog wash.,other
Orchards seemed like a frivolous crop when so many people needed food.,other
I often see the time 11:11 or 12:34 on clocks.,other
"Yeah, I think it's a good environment for learning English.",other
Getting up at dawn is for the birds.,other
We're careful about orange ping pong balls because people might think they're fruit.,other
Stop waiting for exceptional things to just happen.,other
There aren't enough towels in the world to stop the sewage flowing from his mouth.,other
"She wanted to be rescued, but only if it was Tuesday and raining.",other
The big was having an excellent day until he hit the windshield.,other
The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.,other
The glacier came alive as the climbers grew closer.,other
"There should have been a time and a place, but this wasn't it.",other
He found the chocolate covered roaches quite tasty.,other
Greetings from the real universe.,other
He was sure the Devil created red sparkly glitter.,other
The underground bunker was filled with chips and candy.,other
We need to rent a room for our party.,other
UHaul trucks bring back bad memories for us.,other
Abstraction is often one floor above you.,other
It must be five o'clock somewhere.,other
I covered my friend in baby oil.,other
The best key lime pie is still up for debate.,other
I don’t respect anybody who can’t tell the difference between Pepsi and Coke.,other
"In that instant, everything changed.",other
I want to buy a onesie… but know it won’t suit me.,other
Chocolate covered crickets were his favorite snack.,other
He wondered if she would appreciate his toenail collection.,other
The fence was confused wether it was supposed to keep things in or keep things out.,other
The memory we used to share is no longer coherent.,other
"It dawned on her that others could make her happier, but only she could make herself happy.",other
The family sprinkled wildflower seeds across the charred hillside.,other
It isn't difficult to do a handstand if you just stand on your hands.,other
The body piercing didn't go exactly as he expected.,other
Kevin embraced his ability to be at the wrong place at the wrong time.,other
"Honestly, I didn't care much for the first season, so I didn't bother with the second.",other
Separation anxiety is what happens when you can't find your phone.,other
Truth in advertising and dinosaurs with skateboards have much in common.,other
He strives to keep the best lawn in the neighborhood.,other
